coID,sales,inventory,StratumWS,StratumLH
4554,19646.5,3.03,1,1
6839,17459.09,71.11,1,1
8513,2618.84,163.59,1,1
9270,17442.5,321.89,1,1
8415,10642.44,343.07,1,1
8399,2237.53,389.52,1,1
4708,56220.28,435.12,1,1
9250,52589.68,546.27,1,1
9082,32365.32,656.17,1,1
8613,4747.86,731.82,1,1
8468,7817.99,762.39,1,1
8366,8924.58,880.23,1,1
5212,35443.24,926.56,1,1
6494,8865.52,947.93,1,1
9216,3898.74,964.82,1,1
9325,17487.24,1001.61,1,1
2621,41786.77,1002.03,1,1
8572,2918.97,1006.43,1,1
9208,16035.66,1264.72,1,1
9230,42204.73,1302.97,1,1
6743,4209.4,1392.89,1,1
8636,3227.65,1458.63,1,1
8592,12584.83,1487.65,1,1
8556,4328.16,1493.53,1,1
1946,565280.82,1494.7,1,1
8404,3172.06,1663.54,1,1
9093,46259.06,1712.61,1,1
4616,53758.63,1799.87,1,1
8626,6105.47,1986.83,1,1
9339,33575.83,2320.83,1,1
3041,87653.53,2331.46,1,1
6531,164.46,2429.51,1,1
5067,40027.74,2503.95,1,1
9343,42626.88,2574.77,1,1
9366,25196.46,2607.62,1,1
9203,39261.46,2706.59,1,1
6522,15787.17,2742.42,1,1
6492,10557.49,2747.01,1,1
9087,27404.39,2763.89,1,1
5225,26601.04,2882.96,1,1
8409,2327.71,2887.52,1,1
8282,3141.07,2892.73,1,1
3239,45765.19,2892.97,1,1
5222,27738.96,2925.84,1,1
8497,210.5,2990.58,1,1
8512,9548.55,3004.68,1,1
8483,1787.49,3032.22,1,1
3241,38273.58,3236.22,1,1
6837,3728.65,3256.03,1,1
8502,8669.07,3296.47,1,1
9355,18553.83,3389.04,1,1
6742,5296.53,3393.73,1,1
7373,102953.14,3502.05,1,1
6569,7212.45,3636.27,1,1
6591,10442.97,3647.47,1,1
6657,15848.8,3703.15,1,1
2603,87992.42,3723.52,1,1
3063,59917.42,3723.79,1,1
6703,14756.63,3740.13,1,1
6618,9381.07,3802.15,1,1
6576,25294.09,3846.49,1,1
8417,12777.79,3859.25,1,1
8376,7147.49,3879.63,1,1
6524,2296.51,3902.46,1,1
2640,49211.78,3972.42,1,1
3023,49922.14,4027.61,1,1
8396,1016.21,4093.62,1,1
8405,6717.37,4132.12,1,1
1335,47580.98,4154.52,1,1
8444,8731.74,4158.1,1,1
6690,3478.84,4233.1,1,1
8354,7761.96,4324.24,1,1
6609,11245.03,4334.97,1,1
1138,62324.38,4343.7,1,1
8646,7282.91,4383.76,1,1
6824,3697.86,4505.6,1,1
6748,21776.52,4523.3,1,1
6501,15438.81,4559.14,1,1
8419,17323.65,4564.7,1,1
7284,100727.77,4575.85,1,1
8539,6266.18,4579.34,1,1
9160,5678.12,4648.61,1,1
